"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Age specific fertility rates","1978","20 - 24 years","South-West","%",""
"Age specific fertility rates","1978","20 - 24 years","West","%",""
"Age specific fertility rates","1978","20 - 24 years","Ireland","%","126.2"
"Age specific fertility rates","1978","25 - 29 years","Border","%",""
"Age specific fertility rates","1978","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1978","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1978","25 - 29 years","Midland","%",""
"Age specific fertility rates","1978","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1978","25 - 29 years","South-East","%",""
"Age specific fertility rates","1978","25 - 29 years","South-West","%",""
"Age specific fertility rates","1978","25 - 29 years","West","%",""
"Age specific fertility rates","1978","25 - 29 years","Ireland","%","201.7"
"Age specific fertility rates","1978","30 - 34 years","Border","%",""
"Age specific fertility rates","1978","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1978","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1978","30 - 34 years","Midland","%",""
"Age specific fertility rates","1978","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1978","30 - 34 years","South-East","%",""
"Age specific fertility rates","1978","30 - 34 years","South-West","%",""
"Age specific fertility rates","1978","30 - 34 years","West","%",""
"Age specific fertility rates","1978","30 - 34 years","Ireland","%","167.8"
"Age specific fertility rates","1978","35 - 39 years","Border","%",""
"Age specific fertility rates","1978","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1978","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1978","35 - 39 years","Midland","%",""
"Age specific fertility rates","1978","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1978","35 - 39 years","South-East","%",""
"Age specific fertility rates","1978","35 - 39 years","South-West","%",""
"Age specific fertility rates","1978","35 - 39 years","West","%",""
"Age specific fertility rates","1978","35 - 39 years","Ireland","%","96.5"
"Age specific fertility rates","1978","40 - 44 years","Border","%",""
"Age specific fertility rates","1978","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1978","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1978","40 - 44 years","Midland","%",""
"Age specific fertility rates","1978","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1978","40 - 44 years","South-East","%",""
"Age specific fertility rates","1978","40 - 44 years","South-West","%",""
"Age specific fertility rates","1978","40 - 44 years","West","%",""
"Age specific fertility rates","1978","40 - 44 years","Ireland","%","31.1"
"Age specific fertility rates","1978","45 - 49 years","Border","%",""
"Age specific fertility rates","1978","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1978","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1978","45 - 49 years","Midland","%",""
"Age specific fertility rates","1978","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1978","45 - 49 years","South-East","%",""
"Age specific fertility rates","1978","45 - 49 years","South-West","%",""
"Age specific fertility rates","1978","45 - 49 years","West","%",""
"Age specific fertility rates","1978","45 - 49 years","Ireland","%","2.8"
"Age specific fertility rates","1979","All ages","Border","%",""
"Age specific fertility rates","1979","All ages","Dublin","%",""
"Age specific fertility rates","1979","All ages","Mid-East","%",""
"Age specific fertility rates","1979","All ages","Midland","%",""
"Age specific fertility rates","1979","All ages","Mid-West","%",""
"Age specific fertility rates","1979","All ages","South-East","%",""
"Age specific fertility rates","1979","All ages","South-West","%",""
"Age specific fertility rates","1979","All ages","West","%",""
"Age specific fertility rates","1979","All ages","Ireland","%",""
"Age specific fertility rates","1979","15 - 19 years","Border","%",""
"Age specific fertility rates","1979","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1979","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1979","15 - 19 years","Midland","%",""
"Age specific fertility rates","1979","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1979","15 - 19 years","South-East","%",""
"Age specific fertility rates","1979","15 - 19 years","South-West","%",""
"Age specific fertility rates","1979","15 - 19 years","West","%",""
"Age specific fertility rates","1979","15 - 19 years","Ireland","%","22.7"
"Age specific fertility rates","1979","20 - 24 years","Border","%",""
"Age specific fertility rates","1979","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1979","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1979","20 - 24 years","Midland","%",""
"Age specific fertility rates","1979","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1979","20 - 24 years","South-East","%",""
"Age specific fertility rates","1979","20 - 24 years","South-West","%",""
"Age specific fertility rates","1979","20 - 24 years","West","%",""
"Age specific fertility rates","1979","20 - 24 years","Ireland","%","125.9"
"Age specific fertility rates","1979","25 - 29 years","Border","%",""
"Age specific fertility rates","1979","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1979","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1979","25 - 29 years","Midland","%",""
"Age specific fertility rates","1979","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1979","25 - 29 years","South-East","%",""
"Age specific fertility rates","1979","25 - 29 years","South-West","%",""
"Age specific fertility rates","1979","25 - 29 years","West","%",""
"Age specific fertility rates","1979","25 - 29 years","Ireland","%","202.5"
"Age specific fertility rates","1979","30 - 34 years","Border","%",""
"Age specific fertility rates","1979","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1979","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1979","30 - 34 years","Midland","%",""
"Age specific fertility rates","1979","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1979","30 - 34 years","South-East","%",""
"Age specific fertility rates","1979","30 - 34 years","South-West","%",""
"Age specific fertility rates","1979","30 - 34 years","West","%",""
"Age specific fertility rates","1979","30 - 34 years","Ireland","%","168.4"
"Age specific fertility rates","1979","35 - 39 years","Border","%",""
"Age specific fertility rates","1979","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1979","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1979","35 - 39 years","Midland","%",""
"Age specific fertility rates","1979","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1979","35 - 39 years","South-East","%",""
"Age specific fertility rates","1979","35 - 39 years","South-West","%",""
"Age specific fertility rates","1979","35 - 39 years","West","%",""
"Age specific fertility rates","1979","35 - 39 years","Ireland","%","94.1"
"Age specific fertility rates","1979","40 - 44 years","Border","%",""
"Age specific fertility rates","1979","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1979","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1979","40 - 44 years","Midland","%",""
"Age specific fertility rates","1979","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1979","40 - 44 years","South-East","%",""
"Age specific fertility rates","1979","40 - 44 years","South-West","%",""
"Age specific fertility rates","1979","40 - 44 years","West","%",""
"Age specific fertility rates","1979","40 - 44 years","Ireland","%","29.9"
"Age specific fertility rates","1979","45 - 49 years","Border","%",""
"Age specific fertility rates","1979","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1979","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1979","45 - 49 years","Midland","%",""
"Age specific fertility rates","1979","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1979","45 - 49 years","South-East","%",""
"Age specific fertility rates","1979","45 - 49 years","South-West","%",""
"Age specific fertility rates","1979","45 - 49 years","West","%",""
"Age specific fertility rates","1979","45 - 49 years","Ireland","%","2.3"
"Age specific fertility rates","1980","All ages","Border","%",""
"Age specific fertility rates","1980","All ages","Dublin","%",""
"Age specific fertility rates","1980","All ages","Mid-East","%",""
"Age specific fertility rates","1980","All ages","Midland","%",""
"Age specific fertility rates","1980","All ages","Mid-West","%",""
"Age specific fertility rates","1980","All ages","South-East","%",""
"Age specific fertility rates","1980","All ages","South-West","%",""
"Age specific fertility rates","1980","All ages","West","%",""
"Age specific fertility rates","1980","All ages","Ireland","%",""
"Age specific fertility rates","1980","15 - 19 years","Border","%",""
"Age specific fertility rates","1980","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1980","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1980","15 - 19 years","Midland","%",""
"Age specific fertility rates","1980","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1980","15 - 19 years","South-East","%",""
"Age specific fertility rates","1980","15 - 19 years","South-West","%",""
"Age specific fertility rates","1980","15 - 19 years","West","%",""
"Age specific fertility rates","1980","15 - 19 years","Ireland","%","23"
"Age specific fertility rates","1980","20 - 24 years","Border","%",""
"Age specific fertility rates","1980","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1980","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1980","20 - 24 years","Midland","%",""
"Age specific fertility rates","1980","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1980","20 - 24 years","South-East","%",""
"Age specific fertility rates","1980","20 - 24 years","South-West","%",""
"Age specific fertility rates","1980","20 - 24 years","West","%",""
"Age specific fertility rates","1980","20 - 24 years","Ireland","%","125.3"
"Age specific fertility rates","1980","25 - 29 years","Border","%",""
"Age specific fertility rates","1980","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1980","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1980","25 - 29 years","Midland","%",""
"Age specific fertility rates","1980","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1980","25 - 29 years","South-East","%",""
"Age specific fertility rates","1980","25 - 29 years","South-West","%",""
"Age specific fertility rates","1980","25 - 29 years","West","%",""
"Age specific fertility rates","1980","25 - 29 years","Ireland","%","202.3"
"Age specific fertility rates","1980","30 - 34 years","Border","%",""
"Age specific fertility rates","1980","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1980","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1980","30 - 34 years","Midland","%",""
"Age specific fertility rates","1980","30 - 34 years","Mid-West","%",""
